From,To,Sign
0,2,2
0,4,3
0,5,-2
0,6,-1
0,9,-3
0,13,1
1,0,3
1,6,2
1,9,-1
1,12,-3
1,13,1
1,16,-2
2,0,2
2,1,3
2,3,-1
2,7,-3
2,8,-2
2,16,1
3,2,-2
3,4,3
3,5,1
3,6,-3
3,9,2
3,17,-1
4,3,3
4,10,2
4,12,1
5,0,1
5,3,3
5,6,-3
5,7,-1
5,8,2
5,11,-2
6,1,2
6,3,-3
6,4,-1
6,5,-2
6,7,1
6,15,3
7,0,3
7,1,2
7,2,-3
7,8,1
7,13,-2
7,16,-1
8,2,-3
8,4,2
8,7,3
8,15,1
8,16,-2
8,17,-1
9,3,3
9,7,1
9,13,2
10,2,-1
10,4,3
10,7,1
10,12,-3
10,13,2
10,16,-2
11,0,3
11,1,2
11,2,-1
11,3,-3
11,10,-2
11,13,1
12,1,-3
12,4,2
12,5,-2
12,6,1
12,11,-1
12,17,3
13,0,3
13,7,-2
13,10,1
13,11,2
13,12,-3
13,14,2
13,16,-1
14,0,3
14,1,2
14,2,-2
14,12,-3
14,13,1
14,16,-1
14,17,-1
15,0,1
15,1,2
15,6,3
15,12,-1
15,16,-3
15,17,-2
16,2,3
16,3,-3
16,4,-2
16,10,-1
16,12,2
16,17,1
17,0,2
17,1,3
17,3,-3
17,5,-2
17,6,1
17,15,-1
